City_ID,City,Country,Date,Lat,Lon,Wx_Desc,Max_Temp_(F),Humidity_%,Cloud_%,Wind_Spd
59,Torbay,CA,2022-03-20 23:31:14,47.6666,-52.7314,overcast clouds,28.58,94,100,18.41
60,Jumla,NP,2022-03-20 23:31:15,29.2747,82.1838,scattered clouds,44.01,70,45,4.54
61,Rundu,NA,2022-03-20 23:31:16,-17.9333,19.7667,light rain,64.69,96,40,4.88
62,Severo-Kurilsk,RU,2022-03-20 23:31:16,50.6789,156.125,light snow,33.67,98,99,14.99
63,Busselton,AU,2022-03-20 23:31:17,-33.65,115.3333,broken clouds,65.21,64,55,15.19
64,Cape Coast,GH,2022-03-20 23:31:17,5.1053,-1.2466,broken clouds,79.75,85,59,9.1
65,Baghmara,IN,2022-03-20 23:31:18,23.795,86.2085,scattered clouds,74.68,57,32,3.29
66,Hobart,AU,2022-03-20 23:30:09,-42.8794,147.3294,broken clouds,64.26,83,75,5.75
67,Mahajanga,MG,2022-03-20 23:31:19,-15.7167,46.3167,few clouds,75.22,100,20,3.44
68,New Norfolk,AU,2022-03-20 23:31:19,-42.7826,147.0587,overcast clouds,63.91,68,94,3.51
69,Comodoro Rivadavia,AR,2022-03-20 23:31:19,-45.8667,-67.5,clear sky,69.66,43,0,9.22
70,Pevek,RU,2022-03-20 23:31:20,69.7008,170.3133,clear sky,-3.86,85,8,3.22
71,Yangambi,CD,2022-03-20 23:31:20,0.8102,24.4336,overcast clouds,69.96,98,100,2.06
72,East London,ZA,2022-03-20 23:31:21,-33.0153,27.9116,light rain,71.15,88,54,8.19
73,Vila Franca Do Campo,PT,2022-03-20 23:31:21,37.7167,-25.4333,overcast clouds,57.61,85,100,9.22
74,Atuona,PF,2022-03-20 23:31:22,-9.8,-139.0333,light rain,78.76,80,36,16.26
75,Ostersund,SE,2022-03-20 23:31:22,63.1792,14.6357,few clouds,43.25,49,22,8.05
76,Awash,ET,2022-03-20 23:31:23,8.9833,40.1667,overcast clouds,76.71,42,93,0.92
77,Villazon,BO,2022-03-20 23:31:23,-22.0866,-65.5942,overcast clouds,54.27,69,96,12.19
78,Thompson,CA,2022-03-20 23:31:24,55.7435,-97.8558,broken clouds,26.76,59,75,8.05
79,Chokurdakh,RU,2022-03-20 23:31:24,70.6333,147.9167,scattered clouds,-10.59,97,47,2.68
80,Pangnirtung,CA,2022-03-20 23:31:25,66.1451,-65.7125,scattered clouds,-16.35,77,32,6.17
81,Khatanga,RU,2022-03-20 23:31:25,71.9667,102.5,overcast clouds,4.33,97,100,1.9
82,Port Elizabeth,ZA,2022-03-20 23:31:26,-33.918,25.5701,broken clouds,66.31,91,75,1.14
83,Gorontalo,ID,2022-03-20 23:31:26,0.5412,123.0595,overcast clouds,79.11,87,100,1.43
84,Avarua,CK,2022-03-20 23:31:27,-21.2078,-159.775,broken clouds,86.05,74,75,17.27
85,Flinders,AU,2022-03-20 23:31:27,-34.5833,150.8552,overcast clouds,71.06,80,88,5.99
86,Aklavik,CA,2022-03-20 23:26:33,68.2191,-135.0107,light snow,-3.44,90,100,14.07
87,Kabare,CD,2022-03-20 23:31:28,-2.4683,28.8242,overcast clouds,61.0,93,89,0.67
88,Lebu,CL,2022-03-20 23:31:28,-37.6167,-73.65,broken clouds,57.99,96,80,6.38
89,Bargi,IN,2022-03-20 23:31:29,22.9833,79.8667,scattered clouds,77.36,21,37,1.48
90,Yellowknife,CA,2022-03-20 23:32:29,62.456,-114.3525,overcast clouds,35.42,71,100,10.36
91,Kavaratti,IN,2022-03-20 23:32:30,10.5669,72.642,broken clouds,81.84,65,52,9.51
92,Uyemskiy,RU,2022-03-20 23:32:30,64.4743,40.8524,scattered clouds,33.85,86,40,6.71
93,Sept-Iles,CA,2022-03-20 23:32:31,50.2001,-66.3821,overcast clouds,28.92,90,100,11.5
94,Uglovskoye,RU,2022-03-20 23:32:31,51.3557,80.1942,broken clouds,8.92,92,71,11.65
95,Lorengau,PG,2022-03-20 23:32:32,-2.0226,147.2712,overcast clouds,84.58,72,100,8.39
