City_ID,City,Country,Max_Temp_(F),Wx_Desc,Lat,Lon,Hotel_Name
71,Kruisfontein,ZA,66.81,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
72,Omboue,GA,78.39,overcast clouds,-1.5746,9.2618,Hotel Olako
73,Levelland,US,73.18,clear sky,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
74,Acatic,MX,84.76,broken clouds,20.7833,-102.8833,Hacienda La Loma
75,Port Lincoln,AU,67.68,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
76,Bengkulu,ID,75.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
78,San Patricio,US,72.54,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
79,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
80,Subang,ID,74.05,overcast clouds,-7.1277,108.5283,D amir Project
81,Moanda,GA,70.52,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
82,Puerto Quijarro,BO,73.54,overcast clouds,-17.7833,-57.7667,Hotel palance
83,Port Blair,IN,77.04,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
84,Vao,NC,78.26,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
85,Isiro,CD,71.02,overcast clouds,2.7739,27.616,Guest House Hewa Bora
86,Pasighat,IN,72.45,broken clouds,28.0667,95.3333,Siang Guest House
87,Pisco,PE,69.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
88,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
89,Esmeraldas,BR,81.46,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
90,Sao Jose Da Tapera,BR,77.83,broken clouds,-9.5583,-37.3811,Pousada Felicia
91,Bosaso,SO,76.64,clear sky,11.2842,49.1816,Red Sea Hotel
92,Celestun,MX,80.02,scattered clouds,20.8667,-90.4,Posada Lilia
93,Biak,ID,78.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
94,Fort Stewart,US,69.89,clear sky,31.8722,-81.61,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
95,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
96,Camargo,MX,83.23,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
97,Camiri,BO,66.7,overcast clouds,-20.05,-63.5167,J R Hotel
98,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
100,Mangrol,IN,74.19,few clouds,21.1167,70.1167,Hotel The Royal Honours
101,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
102,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
103,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
104,Sao Filipe,CV,69.78,clear sky,14.8961,-24.4956,Hotel Xaguate
105,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
106,Sola,VU,81.14,overcast clouds,-13.8833,167.55,Leumerus Bungalows
107,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
108,Crestview,US,75.11,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
109,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
110,Paita,PE,75.65,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
111,Rolla,US,73.54,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
112,Sur,OM,73.24,clear sky,22.5667,59.5289,Sur Plaza Hotel
113,Cidreira,BR,66.78,overcast clouds,-30.1811,-50.2056,Hotel Castelo
114,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
115,Bouar,CF,69.94,scattered clouds,5.934,15.596,Motel de l'UNITE
116,Khandwa,IN,78.6,broken clouds,21.8333,76.3333,Hotel Grand Barrack
117,Boulder City,US,70.45,broken clouds,35.9786,-114.8325,Boulder Dam Hotel
118,Sankheda,IN,74.98,few clouds,22.1667,73.5833,Jalaram Bhojnalay
119,Gladstone,AU,82.78,clear sky,-23.85,151.25,Highpoint International Hotel
120,Warri,NG,79.12,overcast clouds,5.5167,5.75,BON Hotel Delta
122,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
123,Caravelas,BR,76.51,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
124,Mersing,MY,73.31,light rain,2.4312,103.8405,Timotel Hotel
125,Buta,CD,69.71,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
127,Kango,GA,74.62,light rain,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
128,Patuli,IN,70.0,scattered clouds,23.55,88.25,Mahanta hotel
129,Mackay,AU,83.68,broken clouds,-21.15,149.2,International Lodge Motel
130,Atambua,ID,78.8,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
131,Berberati,CF,73.85,broken clouds,4.2612,15.7922,MAIRIE DE BERBERATI
132,Doha,QA,69.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
133,Bria,CF,76.35,broken clouds,6.5423,21.9863,WFP Guesthouse
134,Samana,DO,78.76,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
135,Pathein,MM,76.86,broken clouds,16.7833,94.7333,Pathein Hotel
136,Antalaha,MG,75.4,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
137,Manutuke,NZ,65.64,light rain,-38.6833,177.9167,Jolly Stockman Hotel
138,Tchollire,CM,76.44,scattered clouds,8.4022,14.1698,"Auberge ""l'amicale"""
139,Douglas,US,76.3,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
140,Acajutla,SV,82.89,scattered clouds,13.5928,-89.8275,Laureles
141,Pasni,PK,75.2,clear sky,25.2631,63.471,Kashmiri Hotal
142,Chandur,IN,80.4,scattered clouds,19.7333,79.1833,Devasni Chit Funds P Ltd(SURYA)
143,Abakaliki,NG,82.53,few clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
144,Kapit,MY,74.26,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
145,Parbhani,IN,81.84,overcast clouds,19.2667,76.7833,Hotel Radhika Place City Palace
146,Morehead,US,65.95,clear sky,37.2711,-87.1764,CCI Express Inn
147,Tautira,PF,82.15,few clouds,-17.7333,-149.15,Pension Oaoa
148,Yazman,PK,78.04,clear sky,29.1212,71.7446,Jamal sons showroom
149,Labuhan,ID,80.02,overcast clouds,-6.8844,112.2051,DoubleFAG
150,Ulladulla,AU,68.9,overcast clouds,-35.35,150.4667,Sandpiper Motel
151,Eydhafushi,MV,83.44,broken clouds,5.1033,73.0708,Soneva Fushi
152,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
153,Plettenberg Bay,ZA,65.37,few clouds,-34.0527,23.3716,Thanda Vista B&B
154,Honavar,IN,78.19,overcast clouds,14.2833,74.45,Hotel Sagar Residency
155,Acapulco,MX,82.22,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
156,Fare,PF,82.69,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
157,Nelson Bay,AU,75.11,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
158,Mecca,SA,71.01,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
159,Marawi,PH,73.53,overcast clouds,7.9986,124.2928,Derogongan Residence
160,Isangel,VU,83.48,heavy intensity rain,-19.55,169.2667,Tanna Lodge
161,Alice Town,BS,77.34,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
162,Cockburn Town,TC,78.06,clear sky,21.4612,-71.1419,Osprey Beach Hotel
163,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
164,Tulsipur,NP,68.09,scattered clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
165,Chalchihuites,MX,67.59,broken clouds,23.4833,-103.8833,Hotel chalchihuites
166,Tsabong,BW,69.89,overcast clouds,-26.0217,22.401,Springbok Motel
167,Callaguip,PH,77.02,broken clouds,18.0714,120.4867,Pangil Beach Resort
168,Santa Rosalia,MX,70.9,few clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
169,Esperance,AU,69.64,broken clouds,-33.8667,121.9,Hospitality Esperance
170,Batemans Bay,AU,68.09,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
171,San Rafael,AR,67.53,clear sky,-34.6177,-68.3301,Hotel San Rafael
